id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58,:@computed_region_8hcu_yrd4,location.latitude,location.longitude,location.human_address
13383814,JH169629,2024-02-28T21:51:00.000,006XX S WABASH AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,TAVERN / LIQUOR STORE,False,False,0123,001,4,32,14,1176896,1897420,2024,2024-03-07T15:41:23.000,41.873864491,-87.625985248,48,14913,38,368,10,35,22,144,9,41.873864491,-87.625985248,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13383281,JH169622,2024-02-28T21:49:00.000,016XX E 87TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,PARKING LOT / GARAGE (NON RESIDENTIAL),True,False,0412,004,8,45,15,1188659,1847618,2024,2024-03-07T15:41:23.000,41.736930377,-87.584391221,9,21202,44,473,35,25,19,240,10,41.736930377,-87.584391221,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13383311,JH169639,2024-02-28T21:45:00.000,055XX S WOODLAWN AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,0235,002,5,41,15,1185165,1868610,2024,2024-03-07T15:41:23.000,41.794617111,-87.596533202,32,22260,8,154,33,60,24,132,3,41.794617111,-87.596533202,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13383284,JH169626,2024-02-28T21:41:00.000,066XX N FRANCISCO AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,False,False,2412,024,50,2,05,1155798,1943825,2024,2024-03-07T15:41:23.000,42.001654117,-87.70219268,42,22528,20,40,27,12,11,46,50,42.001654117,-87.70219268,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13383344,JH169606,2024-02-28T21:39:00.000,007XX N AUSTIN BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1511,015,29,25,08B,1136234,1904484,2024,2024-03-07T15:41:23.000,41.894071544,-87.775109514,,22216,,,,,,,,41.894071544,-87.775109514,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13384224,JH170239,2024-02-28T21:33:00.000,029XX W ADDISON ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,1733,017,33,21,06,1155975,1923781,2024,2024-03-07T15:41:23.000,41.946648722,-87.702084879,2,21538,22,425,20,39,1,23,33,41.946648722,-87.702084879,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13383302,JH169632,2024-02-28T21:30:00.000,0000X W 111TH PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,0522,005,9,49,08B,1178035,1831035,2024,2024-03-07T15:41:23.000,41.691671509,-87.623814606,45,21861,45,660,22,19,10,267,11,41.691671509,-87.623814606,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13383335,JH169663,2024-02-28T21:30:00.000,002XX S HALSTED ST,0460,BATTERY,SIMPLE,APARTMENT,False,False,1232,012,34,28,08B,1171090,1899019,2024,2024-03-07T15:41:23.000,41.878381577,-87.647255007,41,4452,29,91,46,45,15,95,34,41.878381577,-87.647255007,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13383621,JH169963,2024-02-28T21:30:00.000,099XX S EWING AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,0432,004,10,52,07,1202137,1839870,2024,2024-03-07T15:41:23.000,41.715336835,-87.535276291,47,21202,49,705,47,25,19,247,6,41.715336835,-87.535276291,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13383295,JH169594,2024-02-28T21:26:00.000,019XX E 95TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,False,False,0431,004,7,51,14,1190971,1842365,2024,2024-03-07T15:41:23.000,41.722460108,-87.576090212,9,21202,48,252,35,25,19,246,10,41.722460108,-87.576090212,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
